"outcome","estimate","age18.24","age25.34","age35.44","age45.54","age55.64","age65.74","age75.84","age85plus"
"MHQ","ATC","17.01","19.19","20.09","18.47","15.46","12.25","11.27","22.83"
"MHQ","SE","1.14","1.35","1.47","1.84","1.89","1.49","1.74","5.48"
"MHQ","D","0.25","0.28","0.3","0.28","0.24","0.21","0.21","0.37"
"Cog","ATC","16.76","18.1","18.6","16.51","13.54","9.73","7.89","18.96"
"Cog","SE","0.93","1.1","1.31","1.48","1.42","1.3","1.7","4.37"
"Cog","D","0.27","0.28","0.29","0.27","0.23","0.18","0.16","0.33"
"Adaptresil","ATC","19.4","18.16","18.62","16.54","14.45","14.22","12.12","21.35"
"Adaptresil","SE","1.39","1.6","1.6","1.87","1.88","1.67","1.81","4.01"
"Adaptresil","D","0.29","0.28","0.29","0.27","0.24","0.26","0.25","0.4"
"Drivemotiv","ATC","17.6","17.85","17.67","15.46","11.35","9.64","8.29","19.57"
"Drivemotiv","SE","1.22","1.49","1.67","1.95","1.92","1.68","1.91","4.13"
"Drivemotiv","D","0.28","0.28","0.28","0.25","0.19","0.18","0.17","0.35"
"Moodoutlook","ATC","12.97","16.02","17.59","16.63","13.54","10.56","10","18.86"
"Moodoutlook","SE","1.07","1.31","1.46","1.86","2","1.47","1.49","5.04"
"Moodoutlook","D","0.2","0.25","0.27","0.25","0.21","0.17","0.18","0.31"
"Socialself","ATC","10.18","13.69","15.05","14.57","12.12","8.94","8.1","18.64"
"Socialself","SE","1.31","1.51","1.52","1.85","1.83","1.5","1.81","5.64"
"Socialself","D","0.15","0.19","0.21","0.2","0.17","0.13","0.13","0.28"
"Mindbody","ATC","19.02","20.9","20.86","19.37","16.4","15.14","15.34","25.02"
"Mindbody","SE","1.04","1.32","1.29","1.91","2.12","1.86","2.3","4.43"
"Mindbody","D","0.3","0.34","0.34","0.32","0.28","0.28","0.3","0.46"
